GameID,TOP,JG,Mid,ADC,SUP
4597920603,2,4,1,3,5
4598532948,5,1,2,3,4
4598540019,4,5,2,1,3
4599268442,1,5,4,2,3
4599312556,3,1,4,2,5
4599360262,5,1,2,4,3
4599394462,3,4,2,1,5
4599439810,3,5,2,1,4
4599726800,5,4,1,2,3
4599750087,3,5,1,4,2
4599811911,1,3,4,5,2
4599839210,5,4,1,2,3
4600341261,3,2,1,4,5
4601095343,4,3,1,2,5
4607495006,4,2,5,1,3
4607555269,1,3,4,2,5
4607681146,1,3,2,4,5
4607891008,3,5,1,4,2
4607924647,5,4,2,3,1
4607954286,5,1,4,2,3
4607981107,1,4,3,5,2
4608254596,5,4,3,1,2
4608283090,1,5,4,2,3
4608895136,3,5,4,1,2
4608932962,2,1,4,5,3
4610253029,1,5,2,4,3
4610274832,1,3,2,5,4
4610291494,4,2,1,5,3
4610367488,2,3,4,1,5
4612479583,1,4,5,2,3
4612451813,2,3,1,5,4
4612408918,5,4,3,1,2
4613305924,2,3,1,5,4
4613376366,2,3,1,4,5
4616424811,1,5,4,2,3
4616671776,1,5,4,3,2
4616700900,2,3,1,4,5
4617474652,3,1,2,5,4
4617525201,3,4,1,3,5
4617584676,5,1,4,2,3
4617642417,3,3,5,4,2
4619337254,5,1,3,2,4
4619373570,3,2,4,1,5
4620511823,2,3,5,4,1
4620564536,3,1,5,2,4
4620595199,3,4,2,1,5
4622093326,3,1,4,5,2
4622140249,4,2,1,5,3
4623126645,5,4,2,1,3
4623156215,2,1,5,4,3
4623186039,1,5,3,4,3
4623228918,5,1,3,4,2
